Lecture Number,Topic,URL
Lecture 1,Introduction: What Is Political Philosophy?,https://oyc.yale.edu/political-science/plsc-114/lecture-1
Lecture 2,"Socratic Citizenship: Plato, Apology",https://oyc.yale.edu/political-science/plsc-114/lecture-2
Lecture 3,"Socratic Citizenship: Plato, Crito",https://oyc.yale.edu/political-science/plsc-114/lecture-3
Lecture 4,"Philosophers and Kings: Plato, Republic, I-II",https://oyc.yale.edu/political-science/plsc-114/lecture-4
Lecture 5,"Philosophers and Kings: Plato, Republic, III-IV",https://oyc.yale.edu/political-science/plsc-114/lecture-5
Lecture 6,"Philosophers and Kings: Plato, Republic, V",https://oyc.yale.edu/political-science/plsc-114/lecture-6
Lecture 7,"The Mixed Regime and the Rule of Law: Aristotle, Politics, I, III",https://oyc.yale.edu/political-science/plsc-114/lecture-7
Lecture 8,"The Mixed Regime and the Rule of Law: Aristotle, Politics, IV",https://oyc.yale.edu/political-science/plsc-114/lecture-8
Lecture 9,"The Mixed Regime and the Rule of Law: Aristotle, Politics, VII",https://oyc.yale.edu/political-science/plsc-114/lecture-9
Lecture 10,"New Modes and Orders: Machiavelli, The Prince (chaps. 1-12)",https://oyc.yale.edu/political-science/plsc-114/lecture-10
Lecture 11,"New Modes and Orders: Machiavelli, The Prince (chaps. 13-26)",https://oyc.yale.edu/political-science/plsc-114/lecture-11
Lecture 12,"The Sovereign State: Hobbes, Leviathan",https://oyc.yale.edu/political-science/plsc-114/lecture-12
Lecture 13,"The Sovereign State: Hobbes, Leviathan",https://oyc.yale.edu/political-science/plsc-114/lecture-13
Lecture 14,"The Sovereign State: Hobbes, Leviathan",https://oyc.yale.edu/political-science/plsc-114/lecture-14
Lecture 15,"Constitutional Government: Locke, Second Treatise (1-5)",https://oyc.yale.edu/political-science/plsc-114/lecture-15
Lecture 16,"Constitutional Government: Locke, Second Treatise (7-12)",https://oyc.yale.edu/political-science/plsc-114/lecture-16
Lecture 17,"Constitutional Government: Locke, Second Treatise (13-19)",https://oyc.yale.edu/political-science/plsc-114/lecture-17
Lecture 18,"Democracy and Participation: Rousseau, Discourse on Inequality (Author's Preface, Part I)",https://oyc.yale.edu/political-science/plsc-114/lecture-18
Lecture 19,"Democracy and Participation: Rousseau, Discourse on Inequality (Part II)",https://oyc.yale.edu/political-science/plsc-114/lecture-19
Lecture 20,"Democracy and Participation: Rousseau, Social Contract, I-II",https://oyc.yale.edu/political-science/plsc-114/lecture-20
Lecture 21,"Democratic Statecraft: Tocqueville, Democracy in America",https://oyc.yale.edu/political-science/plsc-114/lecture-21
Lecture 22,"Democratic Statecraft: Tocqueville, Democracy in America",https://oyc.yale.edu/political-science/plsc-114/lecture-22
Lecture 23,"Democratic Statecraft: Tocqueville, Democracy in America",https://oyc.yale.edu/political-science/plsc-114/lecture-23
Lecture 24,In Defense of Politics,https://oyc.yale.edu/political-science/plsc-114/lecture-24
